Negative term,Coefficient
bad,-3.5919917447108562
worst,-3.5410727642651243
the worst,-2.8578698426048805
poor,-2.764202199384668
nothing,-2.413385047895925
plot,-2.224689830136832
waste,-2.208354218431618
no,-2.1990492348835122
boring,-2.149540539810088
awful,-2.1331974151366473
stupid,-2.118407248551362
any,-1.7940633113182534
minutes,-1.7598689121308497
even,-1.7439009335278073
worse,-1.6843798779151742
