Positive term,Coefficient
great,3.2799826572448554
the best,2.3380608142720045
excellent,2.232418594286118
best,2.0952388875174193
wonderful,2.046588847117495
also,1.8901166716426
love,1.8688238377566906
it is,1.6906955837282267
perfect,1.6856117203475842
very,1.5573944142668372
will,1.5386806057505038
well,1.4744888451729332
fun,1.4719558496422527
enjoyed,1.457196079934359
classic,1.4276254353186435
