class_index,breed,precision,recall,f1_score,average_precision,support
34,Staffordshire Bull Terrier,0.5757575757575758,0.6551724137931034,0.6129032258064516,0.70452567023424,29
13,American Pit Bull Terrier,0.7272727272727273,0.5333333333333333,0.6153846153846154,0.7742870244483926,30
8,Ragdoll,0.6764705882352942,0.7666666666666667,0.71875,0.8149421833809845,30
1,Bengal,1.0,0.5666666666666667,0.723404255319149,0.9508268220214385,30
9,Russian Blue,0.7352941176470589,0.8333333333333334,0.78125,0.8798684599447237,30
5,Egyptian Mau,0.6923076923076923,0.9,0.782608695652174,0.9451443759842061,30
4,British Shorthair,0.7741935483870968,0.8,0.7868852459016393,0.8633680175306065,30
12,American Bulldog,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.9322665770120717,30
2,Birman,0.8125,0.8666666666666667,0.8387096774193549,0.9079983630022063,30
17,Chihuahua,1.0,0.7666666666666667,0.8679245283018868,0.9507023464101504,30
3,Bombay,0.84375,0.9,0.8709677419354839,0.9859877577619512,30
0,Abyssinian,0.9615384615384616,0.8333333333333334,0.8928571428571429,0.9771467577954126,30
31,Samoyed,0.9,0.9,0.9,0.9785608237547893,30
26,Miniature Pinscher,0.9,0.9,0.9,0.9626990805172274,30
33,Shiba Inu,0.9,0.9,0.9,0.9603191376235011,30
30,Saint Bernard,0.875,0.9333333333333333,0.9032258064516129,0.9539519592055823,30
15,Beagle,0.875,0.9333333333333333,0.9032258064516129,0.9656359734373609,30
10,Siamese,0.9032258064516129,0.9333333333333333,0.9180327868852459,0.9611593696986633,30
7,Persian,1.0,0.8666666666666667,0.9285714285714286,0.996969696969697,30
28,Pomeranian,0.9642857142857143,0.9,0.9310344827586207,0.9966641947843282,30
6,Maine Coon,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9623772748612319,30
21,Great Pyrenees,0.8823529411764706,1.0,0.9375,0.9999999999999999,30
20,German Shorthaired,1.0,0.9,0.9473684210526315,0.9918713450292397,30
19,English Setter,1.0,0.9,0.9473684210526315,0.9930875576036867,30
14,Basset Hound,0.9655172413793104,0.9333333333333333,0.9491525423728814,0.9933333333333333,30
22,Havanese,0.9354838709677419,0.9666666666666667,0.9508196721311475,0.9769142842147093,30
16,Boxer,0.9354838709677419,0.9666666666666667,0.9508196721311475,0.9558727679593063,30
25,Leonberger,0.9354838709677419,0.9666666666666667,0.9508196721311475,0.9906157015611038,30
18,English Cocker Spaniel,1.0,0.9333333333333333,0.9655172413793104,0.989516129032258,30
24,Keeshond,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9947091605712295,30
23,Japanese Chin,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9956561302681992,30
11,Sphynx,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9916666666666666,30
36,Yorkshire Terrier,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9978136200716846,30
29,Pug,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9968055555555556,30
27,Newfoundland,0.9375,1.0,0.967741935483871,0.9784494599264157,30
35,Wheaten Terrier,1.0,0.9666666666666667,0.9830508474576272,0.9999999999999999,30
32,Scottish Terrier,1.0,1.0,1.0,0.9999999999999999,30
