model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top_3_accuracy,roc_auc_macro_ovr,pr_auc_macro
Class-Prior Baseline,0.027051397655545536,0.0007311188555552847,0.02702702702702703,0.001423723987376314,0.0014250077781674559,0.0811541929666366,0.5,0.02702702702702703
MobileNetV2 Classifier,0.8899909828674482,0.8976196432235692,0.8897794346070208,0.8896240525221673,0.8898735753596025,0.9837691614066727,0.9978255051894438,0.953289556166815
