Model,Train Accuracy,Validation Accuracy,Train Precision,Validation Precision,Train Recall,Validation Recall,Train F1,Validation F1,Mean CV F1,CV F1 Std,Validation ROC-AUC,Decision
Logistic Regression,0.845,0.803,0.857,0.786,0.795,0.786,0.825,0.786,0.792,0.07,0.936,Selected
Random Forest,1.0,0.82,1.0,0.793,1.0,0.821,1.0,0.807,0.75,0.044,0.893,Not selected
