DistilBERT Weight,TF-IDF Weight,Accuracy,Precision,Recall,F1,Threshold,Threshold Distance,Weight Balance Distance
0.225,0.775,0.899,0.8937007874015748,0.906187624750499,0.8999008919722498,0.49500000000000016,0.004999999999999838,0.275
0.225,0.775,0.899,0.8952569169960475,0.9041916167664671,0.8997020854021847,0.5000000000000002,2.220446049250313e-16,0.275
0.2,0.8,0.897,0.888671875,0.908183632734531,0.8983218163869694,0.49500000000000016,0.004999999999999838,0.3
0.225,0.775,0.897,0.8901960784313725,0.906187624750499,0.8981206726013847,0.49000000000000016,0.009999999999999842,0.275
0.2,0.8,0.898,0.8997995991983968,0.8962075848303394,0.898,0.5050000000000001,0.0050000000000001155,0.3
0.2,0.8,0.897,0.8948412698412699,0.9001996007984032,0.8975124378109453,0.5000000000000002,2.220446049250313e-16,0.3
0.225,0.775,0.897,0.898,0.8962075848303394,0.8971028971028971,0.5050000000000001,0.0050000000000001155,0.275
0.2,0.8,0.897,0.9012096774193549,0.8922155688622755,0.8966900702106319,0.5100000000000002,0.010000000000000231,0.3
0.25,0.75,0.895,0.8852140077821011,0.908183632734531,0.896551724137931,0.49000000000000016,0.009999999999999842,0.25
0.25,0.75,0.897,0.902834008097166,0.8902195608782435,0.8964824120603015,0.5050000000000001,0.0050000000000001155,0.25
0.2,0.8,0.897,0.902834008097166,0.8902195608782435,0.8964824120603015,0.5150000000000001,0.015000000000000124,0.3
0.17500000000000002,0.825,0.896,0.8946322067594433,0.8982035928143712,0.896414342629482,0.5050000000000001,0.0050000000000001155,0.32499999999999996
0.2,0.8,0.894,0.883495145631068,0.908183632734531,0.8956692913385826,0.49000000000000016,0.009999999999999842,0.3
0.25,0.75,0.895,0.8944223107569721,0.8962075848303394,0.8953140578265204,0.5000000000000002,2.220446049250313e-16,0.25
0.17500000000000002,0.825,0.894,0.888015717092338,0.9021956087824351,0.8950495049504951,0.5000000000000002,2.220446049250313e-16,0.32499999999999996
0.225,0.775,0.896,0.9059304703476483,0.8842315369261478,0.8949494949494949,0.5150000000000001,0.015000000000000124,0.275
0.25,0.75,0.894,0.8895463510848126,0.9001996007984032,0.8948412698412699,0.49500000000000016,0.004999999999999838,0.25
0.25,0.75,0.893,0.8817829457364341,0.908183632734531,0.8947885939036382,0.48500000000000015,0.014999999999999847,0.25
0.225,0.775,0.893,0.8817829457364341,0.908183632734531,0.8947885939036382,0.48500000000000015,0.014999999999999847,0.275
0.17500000000000002,0.825,0.896,0.9075975359342916,0.8822355289421158,0.8947368421052632,0.5150000000000001,0.015000000000000124,0.32499999999999996
0.2,0.8,0.896,0.9075975359342916,0.8822355289421158,0.8947368421052632,0.5200000000000002,0.02000000000000024,0.3
0.17500000000000002,0.825,0.895,0.8991935483870968,0.8902195608782435,0.8946840521564694,0.5100000000000002,0.010000000000000231,0.32499999999999996
0.225,0.775,0.895,0.9008097165991903,0.8882235528942116,0.8944723618090452,0.5100000000000002,0.010000000000000231,0.275
0.17500000000000002,0.825,0.896,0.9109730848861284,0.8782435129740519,0.8943089430894309,0.5200000000000002,0.02000000000000024,0.32499999999999996
