Global Epoch,Stage,Stage Epoch,Learning Rate,Trainable Parameters,Trainable Percentage,Training Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Epoch Minutes
1,head_only,1,0.0005,592130,0.8843699672362083,0.3976794897565851,0.853,0.8612244897959184,0.8423153692614771,0.851664984863774,8.682342688242594
2,last_block,1,2e-05,7680002,11.470391834755905,0.3622026811875403,0.848,0.8311195445920304,0.874251497005988,0.8521400778210116,9.530559448401133
3,last_block,2,2e-05,7680002,11.470391834755905,0.3449207434169948,0.851,0.8450980392156863,0.8602794411177644,0.8526211671612265,9.866490570704142
